,Comment
0,The same thing happening in the new replaced phone also I feel disappointed it's not worth for the money. It's hanging a lot in phone application. I am getting irritated when I am try to make a call. I need to wait for 30 to 40 seconds in that to most of the time it closing automatically showing phone is not responding. I didn't expect this from one plus. Totally waste product...
1,Everything is best except the thing that one plus hasn't provided headphones with handset..n even cleaning cloth is not there...only one transparent cover case is available..phone doesn't have headphones jack n hence it should have provided headphones..mine is mirror Black..
2,Do watch the video. M very disappointed with the product
3,"Awesome device, and hats off to amazon for such speedy delivery.I ordered it on 16th May 12PM and it got delivered by 17th May 10AMAnd so far I m absolutely loving this device, buttery smooth and blazing fast. But its a bit big, afterall 6.7 inches is quite a number and super slippery if used without the case.And I am awestruck by the speed it charges. 😍"
4,Worth every buck.Finally one plus has involved and presented a better shaped handset.- Amazing display quality and the curved edged display.- Best in class camera.- Better battery life and charging.
5,"Waste of money this time one plus 7 pro heavy weight not disply gud compare to samsung, also inbuilt screen guard getting with bubles and in youtube show wireless headphone and 2 axtra cover with phone but not recived this time really waste of money"
6,This phone has a hanging issue. Nd ur customer care says they can send d technician on 25th. Its like  i hv spent 53000 nd still i cant use a phone.
7,No 4G direct video call!! What a mess! Clearly over priced. Display is stunning. Performance stunning. Average battery backup. Over hiped device as usual!! Worst RAM management! Only 2GB RAM is free out of 8GB in most optimized state with all the back ground applications are closed. Next upgrade should solve the RAM management problem and Direct 4G video call feature. Camera is good but not ground breaking at this price tag and as hyped by the company.
8,just bought oneplus 7 prowas exploring itsaved both of my thumbs as fingerprint but the phone opened with my right index fingerprintwhat the hell is this
9,"I am giving 1 star for poor camera quality .The camera is bad than my oneplus 3.Its not able to focus correctly and the final image is blurry.I discovered the issue when clicking a pic of a document.The text was not sharp and all and after doing some more testing with 3rd party apps , and going thru Oneplus Forum, found that many people are facing this same issue.Oneplus should fix this issue, else this would be like OP 2"
